 R11 R12 R21 R22
 -0.851449e-02 -0.851449e-02 -0.851449e-02 -0.851449e-02
 -0.827542e-02 -0.827542e-02 -0.827542e-02 -0.827542e-02
 -0.805151e-02 -0.805151e-02 -0.805151e-02 -0.805151e-02
 -0.784140e-02 -0.784140e-02 -0.784140e-02 -0.784140e-02
 -0.764389e-02 -0.764389e-02 -0.764389e-02 -0.764389e-02
 -0.745791e-02 -0.745791e-02 -0.745791e-02 -0.745791e-02
 -0.728249e-02 -0.728249e-02 -0.728249e-02 -0.728249e-02
 -0.711678e-02 -0.711678e-02 -0.711678e-02 -0.711678e-02
 -0.696000e-02 -0.696000e-02 -0.696000e-02 -0.696000e-02
 -0.681146e-02 -0.681146e-02 -0.681146e-02 -0.681146e-02
 -0.667052e-02 -0.667052e-02 -0.667052e-02 -0.667052e-02
 -0.653661e-02 -0.653661e-02 -0.653661e-02 -0.653661e-02
 -0.640923e-02 -0.640923e-02 -0.640923e-02 -0.640923e-02
 -0.628790e-02 -0.628790e-02 -0.628790e-02 -0.628790e-02
 -0.617220e-02 -0.617220e-02 -0.617220e-02 -0.617220e-02
 -0.606173e-02 -0.606173e-02 -0.606173e-02 -0.606173e-02
 -0.595616e-02 -0.595616e-02 -0.595616e-02 -0.595616e-02
 -0.562067e-02 -0.562067e-02 -0.562067e-02 -0.562067e-02
 -0.514448e-02 -0.514448e-02 -0.514448e-02 -0.514448e-02
 -0.476045e-02 -0.476045e-02 -0.476045e-02 -0.476045e-02
 -0.444295e-02 -0.444295e-02 -0.444295e-02 -0.444295e-02
 -0.417501e-02 -0.417501e-02 -0.417501e-02 -0.417501e-02
 -0.394499e-02 -0.394499e-02 -0.394499e-02 -0.394499e-02
 -0.374466e-02 -0.374466e-02 -0.374466e-02 -0.374466e-02
 -0.356805e-02 -0.356805e-02 -0.356805e-02 -0.356805e-02
 -0.341071e-02 -0.341071e-02 -0.341071e-02 -0.341071e-02
 -0.326929e-02 -0.326929e-02 -0.326929e-02 -0.326929e-02
 -0.314118e-02 -0.314118e-02 -0.314118e-02 -0.314118e-02
 -0.302436e-02 -0.302436e-02 -0.302436e-02 -0.302436e-02
 -0.291719e-02 -0.291719e-02 -0.291719e-02 -0.291719e-02
 -0.281837e-02 -0.281837e-02 -0.281837e-02 -0.281837e-02
 -0.272682e-02 -0.272682e-02 -0.272682e-02 -0.272682e-02
 -0.264168e-02 -0.264168e-02 -0.264168e-02 -0.264168e-02
 -0.256219e-02 -0.256219e-02 -0.256219e-02 -0.256219e-02
 -0.248775e-02 -0.248775e-02 -0.248775e-02 -0.248775e-02
 -0.241783e-02 -0.241783e-02 -0.241783e-02 -0.241783e-02
 -0.235197e-02 -0.235197e-02 -0.235197e-02 -0.235197e-02
 -0.228981e-02 -0.228981e-02 -0.228981e-02 -0.228981e-02
 -0.223099e-02 -0.223099e-02 -0.223099e-02 -0.223099e-02
 -0.217523e-02 -0.217523e-02 -0.217523e-02 -0.217523e-02
 -0.212227e-02 -0.212227e-02 -0.212227e-02 -0.212227e-02
 -0.207190e-02 -0.207190e-02 -0.207190e-02 -0.207190e-02
 -0.202390e-02 -0.202390e-02 -0.202390e-02 -0.202390e-02
 -0.197810e-02 -0.197810e-02 -0.197810e-02 -0.197810e-02
 -0.193435e-02 -0.193435e-02 -0.193435e-02 -0.193435e-02
 -0.189250e-02 -0.189250e-02 -0.189250e-02 -0.189250e-02
 -0.185242e-02 -0.185242e-02 -0.185242e-02 -0.185242e-02
 -0.181399e-02 -0.181399e-02 -0.181399e-02 -0.181399e-02
 -0.177712e-02 -0.177712e-02 -0.177712e-02 -0.177712e-02
 -0.174171e-02 -0.174171e-02 -0.174171e-02 -0.174171e-02
 -0.170766e-02 -0.170766e-02 -0.170766e-02 -0.170766e-02
 -0.167490e-02 -0.167490e-02 -0.167490e-02 -0.167490e-02
 -0.164336e-02 -0.164336e-02 -0.164336e-02 -0.164336e-02
 -0.161297e-02 -0.161297e-02 -0.161297e-02 -0.161297e-02
 -0.158366e-02 -0.158366e-02 -0.158366e-02 -0.158366e-02
 -0.155538e-02 -0.155538e-02 -0.155538e-02 -0.155538e-02
 -0.152807e-02 -0.152807e-02 -0.152807e-02 -0.152807e-02
 -0.150169e-02 -0.150169e-02 -0.150169e-02 -0.150169e-02
 -0.147619e-02 -0.147619e-02 -0.147619e-02 -0.147619e-02
 -0.145152e-02 -0.145152e-02 -0.145152e-02 -0.145152e-02
 -0.142765e-02 -0.142765e-02 -0.142765e-02 -0.142765e-02
 -0.140454e-02 -0.140454e-02 -0.140454e-02 -0.140454e-02
 -0.138215e-02 -0.138215e-02 -0.138215e-02 -0.138215e-02
 -0.136046e-02 -0.136046e-02 -0.136046e-02 -0.136046e-02
 -0.133942e-02 -0.133942e-02 -0.133942e-02 -0.133942e-02
 -0.131902e-02 -0.131902e-02 -0.131902e-02 -0.131902e-02
 -0.129921e-02 -0.129921e-02 -0.129921e-02 -0.129921e-02
 -0.127999e-02 -0.127999e-02 -0.127999e-02 -0.127999e-02
 -0.126132e-02 -0.126132e-02 -0.126132e-02 -0.126132e-02
 -0.124318e-02 -0.124318e-02 -0.124318e-02 -0.124318e-02
 -0.122555e-02 -0.122555e-02 -0.122555e-02 -0.122555e-02
 -0.120841e-02 -0.120841e-02 -0.120841e-02 -0.120841e-02
 -0.119174e-02 -0.119174e-02 -0.119174e-02 -0.119174e-02
 -0.117552e-02 -0.117552e-02 -0.117552e-02 -0.117552e-02
 -0.115973e-02 -0.115973e-02 -0.115973e-02 -0.115973e-02
 -0.114436e-02 -0.114436e-02 -0.114436e-02 -0.114436e-02
 -0.112939e-02 -0.112939e-02 -0.112939e-02 -0.112939e-02
 -0.111481e-02 -0.111481e-02 -0.111481e-02 -0.111481e-02
 -0.110059e-02 -0.110059e-02 -0.110059e-02 -0.110059e-02
 -0.108674e-02 -0.108674e-02 -0.108674e-02 -0.108674e-02
 -0.107323e-02 -0.107323e-02 -0.107323e-02 -0.107323e-02
 -0.106005e-02 -0.106005e-02 -0.106005e-02 -0.106005e-02
 -0.104720e-02 -0.104720e-02 -0.104720e-02 -0.104720e-02
 -0.103465e-02 -0.103465e-02 -0.103465e-02 -0.103465e-02
 -0.102241e-02 -0.102241e-02 -0.102241e-02 -0.102241e-02
