M_GeV T_GeV <g1>/T
7.000000000000000666e-01 1.555676143930472222e+02 1.032904063378520081e-02
7.000000000000000666e-01 1.592282793341092315e+02 9.426888469357207201e-03
7.000000000000000666e-01 1.629750834620643332e+02 9.047724167270536008e-03
7.000000000000000666e-01 1.668100537200059250e+02 8.921625890599494194e-03
7.000000000000000666e-01 1.707352647470690385e+02 8.849937171523871923e-03
7.000000000000000666e-01 1.747528400007682876e+02 8.776500678005647732e-03
7.000000000000000666e-01 1.788649529057435075e+02 8.722420463309812216e-03
7.000000000000000666e-01 1.830738280295367701e+02 8.683403575927103879e-03
7.000000000000000666e-01 1.873817422860383033e+02 8.662216432253670717e-03
7.000000000000000666e-01 1.917910261672488730e+02 8.639901327166547504e-03
7.000000000000000666e-01 1.963040650040270521e+02 8.624467859506653594e-03
7.000000000000000666e-01 2.009233002565045751e+02 8.616190562373223644e-03
7.000000000000000666e-01 2.056512308348651459e+02 8.616197029804453095e-03
7.000000000000000666e-01 2.104904144512019570e+02 8.606123895570699442e-03
7.000000000000000666e-01 2.154434690031882269e+02 8.606129822729263745e-03
7.000000000000000666e-01 2.205130739903045480e+02 8.612875161941032504e-03
7.000000000000000666e-01 2.257019719633919124e+02 8.612880661912868108e-03
7.000000000000000666e-01 2.310129700083157900e+02 8.612885913791789444e-03
7.000000000000000666e-01 2.364489412645407072e+02 8.626035464195403249e-03
7.000000000000000666e-01 2.420128264794381039e+02 8.626040285194480628e-03
7.000000000000000666e-01 2.477076355991711409e+02 8.643860063106415664e-03
7.000000000000000666e-01 2.535364493970111255e+02 8.643864483937743412e-03
7.000000000000000666e-01 2.595024211399737055e+02 8.643868704926865876e-03
7.000000000000000666e-01 2.656087782946686957e+02 8.663029443046543071e-03
7.000000000000000666e-01 2.718588242732940330e+02 8.663033306377687648e-03
7.000000000000000666e-01 2.782559402207126027e+02 8.681648911050479991e-03
7.000000000000000666e-01 2.848035868435802058e+02 8.681652435745756957e-03
7.000000000000000666e-01 2.915053062825175516e+02 8.681655800876294030e-03
7.000000000000000666e-01 2.983647240283340238e+02 8.699695803273069933e-03
7.000000000000000666e-01 3.053855508833415229e+02 8.699698870335056261e-03
7.000000000000000666e-01 3.125715849688235153e+02 8.715556064278829826e-03
7.000000000000000666e-01 3.199267137797384635e+02 8.715558857368363790e-03
7.000000000000000666e-01 3.274549162877728463e+02 8.729502390680753468e-03
7.000000000000000666e-01 3.351602650938841066e+02 8.729504934551223644e-03
