M_GeV T_GeV <S1>/T
3.000000000000000000e+04 1.917910261672488730e+02 3.111881971339726771e+00
3.000000000000000000e+04 1.963040650040270521e+02 3.040339671938856458e+00
3.000000000000000000e+04 2.009233002565045751e+02 2.970442133056124145e+00
3.000000000000000000e+04 2.056512308348651459e+02 2.902151541576981408e+00
3.000000000000000000e+04 2.104904144512019570e+02 2.835430953712008595e+00
3.000000000000000000e+04 2.154434690031882269e+02 2.770244275011071622e+00
3.000000000000000000e+04 2.205130739903045480e+02 2.706556240836989424e+00
3.000000000000000000e+04 2.257019719633919124e+02 2.644332397288099212e+00
3.000000000000000000e+04 2.310129700083157900e+02 2.583539082559405120e+00
3.000000000000000000e+04 2.364489412645407072e+02 2.524143408732242300e+00
3.000000000000000000e+04 2.420128264794381039e+02 2.466113243982609671e+00
3.000000000000000000e+04 2.477076355991711409e+02 2.409417195198502171e+00
3.000000000000000000e+04 2.535364493970111255e+02 2.354024590996908639e+00
3.000000000000000000e+04 2.595024211399737055e+02 2.299905465131214299e+00
3.000000000000000000e+04 2.656087782946686957e+02 2.247030540280102962e+00
3.000000000000000000e+04 2.718588242732940330e+02 2.195371212209119793e+00
3.000000000000000000e+04 2.782559402207126027e+02 2.144899534296378807e+00
3.000000000000000000e+04 2.848035868435802058e+02 2.095588202414034207e+00
3.000000000000000000e+04 2.915053062825175516e+02 2.047410540157296843e+00
3.000000000000000000e+04 2.983647240283340238e+02 2.000340484413063002e+00
3.000000000000000000e+04 3.053855508833415229e+02 1.954352571260319138e+00
3.000000000000000000e+04 3.125715849688235153e+02 1.909421922194675991e+00
3.000000000000000000e+04 3.199267137797384635e+02 1.865524230669623806e+00
3.000000000000000000e+04 3.274549162877728463e+02 1.822635748947200041e+00
3.000000000000000000e+04 3.351602650938841066e+02 1.780733275250946157e+00
3.000000000000000000e+04 3.430469286314919373e+02 1.739794141214235257e+00
3.000000000000000000e+04 3.511191734215130964e+02 1.699796199617162884e+00
3.000000000000000000e+04 3.593813663804625662e+02 1.660717812405350324e+00
3.000000000000000000e+04 3.678379771828634262e+02 1.622537838984213332e+00
3.000000000000000000e+04 3.764935806792467474e+02 1.585235624782343811e+00
3.000000000000000000e+04 3.853528593710527161e+02 1.548790990077809404e+00
3.000000000000000000e+04 3.944206059437656222e+02 1.513184219081344040e+00
3.000000000000000000e+04 4.037017258596553688e+02 1.478396049270526147e+00
3.000000000000000000e+04 4.132012400115334572e+02 1.444407660969140528e+00
3.000000000000000000e+04 4.229242874389498752e+02 1.411200667166133016e+00
3.000000000000000000e+04 4.328761281083056929e+02 1.378757103568622577e+00
3.000000000000000000e+04 4.430621457583877714e+02 1.347059418883583826e+00
3.000000000000000000e+04 4.534878508128581984e+02 1.316090465322968805e+00
3.000000000000000000e+04 4.641588833612777307e+02 1.285833489327111501e+00
3.000000000000000000e+04 4.750810162102798131e+02 1.256272122501394417e+00
3.000000000000000000e+04 4.862601580065353346e+02 1.227390372761294701e+00
3.000000000000000000e+04 4.977023564332108663e+02 1.199172615680993426e+00
3.000000000000000000e+04 5.094138014816380178e+02 1.171603586040886880e+00
3.000000000000000000e+04 5.214008287999683944e+02 1.144668369569426636e+00
3.000000000000000000e+04 5.336699231206307559e+02 1.118352394874799538e+00
3.000000000000000000e+04 5.462277217684342077e+02 1.092641425562113744e+00
3.000000000000000000e+04 5.590810182512223037e+02 1.067521552531805584e+00
3.000000000000000000e+04 5.722367659350220492e+02 1.042979186455101237e+00
3.000000000000000000e+04 5.857020818056666940e+02 1.019001050422479793e+00
3.000000000000000000e+04 5.994842503189408944e+02 9.955741727611329139e-01
3.000000000000000000e+04 6.135907273413175744e+02 9.726858800175653963e-01
3.000000000000000000e+04 6.280291441834252737e+02 9.503237901015214595e-01
3.000000000000000000e+04 6.428073117284319551e+02 9.284758055875256266e-01
3.000000000000000000e+04 6.579332246575681893e+02 9.071301071704316321e-01
3.000000000000000000e+04 6.734150657750820983e+02 8.862751472714254231e-01
3.000000000000000000e+04 6.892612104349694846e+02 8.658996437910202459e-01
3.000000000000000000e+04 7.054802310718645231e+02 8.459925740056785104e-01
3.000000000000000000e+04 7.220809018385464242e+02 8.265431686047499671e-01
3.000000000000000000e+04 7.390722033525775032e+02 8.075409058644934523e-01
3.000000000000000000e+04 7.564633275546290179e+02 7.889755059560458195e-01
3.000000000000000000e+04 7.742636826811269657e+02 7.708369253842514146e-01
3.000000000000000000e+04 7.924828983539168803e+02 7.531153515543338450e-01
3.000000000000000000e+04 8.111308307896872520e+02 7.358011974634901531e-01
3.000000000000000000e+04 8.302175681319744172e+02 7.188850965145237026e-01
3.000000000000000000e+04 8.497534359086438371e+02 7.023578974487044713e-01
3.000000000000000000e+04 8.697490026177833897e+02 6.862106593951320388e-01
3.000000000000000000e+04 8.902150854450383122e+02 6.704346470339114239e-01
3.000000000000000000e+04 9.111627561154896284e+02 6.550213258705224195e-01
3.000000000000000000e+04 9.326033468832199560e+02 6.399623576188413487e-01
3.000000000000000000e+04 9.545484566618337112e+02 6.252495956902960339e-01
3.000000000000000000e+04 9.770099572992256753e+02 6.108750807867335819e-01
3.000000000000000000e+04 1.000000000000000000e+03 5.968310365946075668e-01
3.000000000000000000e+04 1.000000000000000000e+03 5.968310365946075668e-01
3.000000000000000000e+04 1.097498765493055544e+03 5.438102122388073223e-01
3.000000000000000000e+04 1.204503540258781186e+03 4.954996117872609296e-01
3.000000000000000000e+04 1.321941148466028608e+03 4.514807919302354366e-01
3.000000000000000000e+04 1.450828778495938650e+03 4.113724827083571900e-01
3.000000000000000000e+04 1.592282793341090610e+03 3.748272851346183265e-01
3.000000000000000000e+04 1.747528400007682876e+03 3.415286621905450071e-01
3.000000000000000000e+04 1.917910261672486740e+03 3.111881971339729991e-01
3.000000000000000000e+04 2.104904144512019684e+03 2.835430953712008706e-01
3.000000000000000000e+04 2.310129700083157786e+03 2.583539082559405120e-01
3.000000000000000000e+04 2.535364493970108924e+03 2.354024590996910971e-01
3.000000000000000000e+04 2.782559402207123185e+03 2.144899534296381138e-01
3.000000000000000000e+04 3.053855508833412387e+03 1.821697457193472980e-01
3.000000000000000000e+04 3.351602650938840725e+03 1.655582897717218505e-01
3.000000000000000000e+04 3.678379771828630510e+03 1.504166169444063339e-01
3.000000000000000000e+04 4.037017258596553802e+03 1.366712002529367753e-01
3.000000000000000000e+04 4.430621457583877600e+03 1.241840807245453565e-01
3.000000000000000000e+04 4.862601580065348571e+03 1.128263841620707891e-01
3.000000000000000000e+04 5.336699231206307559e+03 1.025023084522312250e-01
3.000000000000000000e+04 5.857020818056661483e+03 9.307628010763374649e-02
3.000000000000000000e+04 6.428073117284318869e+03 8.445706544533253257e-02
3.000000000000000000e+04 7.054802310718638182e+03 7.653444703798464865e-02
3.000000000000000000e+04 7.742636826811270112e+03 6.921350550668498025e-02
3.000000000000000000e+04 8.497534359086437689e+03 6.242086343888499783e-02
3.000000000000000000e+04 9.326033468832189101e+03 5.608435373686213726e-02
3.000000000000000000e+04 1.023531021899026928e+04 5.014987194383765251e-02
3.000000000000000000e+04 1.123324032978026480e+04 4.457936521726497264e-02
3.000000000000000000e+04 1.232846739442065882e+04 3.934963132536072744e-02
3.000000000000000000e+04 1.353047774579807628e+04 3.444561295076747215e-02
3.000000000000000000e+04 1.484968262254463480e+04 2.987555772844371904e-02
3.000000000000000000e+04 1.629750834620643400e+04 2.564484842286352678e-02
3.000000000000000000e+04 1.788649529057435211e+04 2.177109521523877891e-02
3.000000000000000000e+04 1.963040650040268520e+04 1.827132878691957799e-02
3.000000000000000000e+04 2.154434690031882201e+04 1.515115987455282684e-02
3.000000000000000000e+04 2.364489412645406992e+04 1.242235297110238883e-02
3.000000000000000000e+04 2.595024211399731939e+04 1.007323793718339043e-02
3.000000000000000000e+04 2.848035868435799057e+04 8.096675854859637297e-03
3.000000000000000000e+04 3.125715849688235176e+04 6.475753322388966109e-03
3.000000000000000000e+04 3.430469286314912461e+04 5.180344713825868995e-03
3.000000000000000000e+04 3.764935806792470976e+04 4.184203877573428043e-03
3.000000000000000000e+04 4.132012400115334458e+04 3.457684189745661822e-03
3.000000000000000000e+04 4.534878508128582325e+04 2.959390460696765136e-03
3.000000000000000000e+04 4.977023564332113892e+04 2.633818418710420512e-03
3.000000000000000000e+04 5.462277217684336938e+04 2.349159248910799927e-03
3.000000000000000000e+04 5.994842503189409035e+04 2.089051788493504619e-03
3.000000000000000000e+04 6.579332246575682075e+04 1.853427793377621351e-03
3.000000000000000000e+04 7.220809018385456875e+04 1.638593627320389465e-03
3.000000000000000000e+04 7.924828983539169712e+04 1.445583735188519289e-03
3.000000000000000000e+04 8.697490026177834079e+04 1.271024828648961019e-03
3.000000000000000000e+04 9.545484566618327517e+04 1.114712747461842762e-03
3.000000000000000000e+04 1.047615752789664111e+05 9.757116089944351586e-04
3.000000000000000000e+04 1.149756995397735591e+05 8.515093263425726165e-04
3.000000000000000000e+04 1.261856883066018490e+05 7.416964340111335862e-04
3.000000000000000000e+04 1.384886371393871668e+05 6.442637641610239087e-04
3.000000000000000000e+04 1.519911082952933211e+05 5.584250516588235751e-04
3.000000000000000000e+04 1.668100537200059043e+05 4.830992840830130447e-04
3.000000000000000000e+04 1.830738280295369623e+05 4.169186991786046157e-04
3.000000000000000000e+04 2.009233002565045899e+05 3.591604126110554268e-04
3.000000000000000000e+04 2.205130739903045469e+05 3.086961547999932587e-04
3.000000000000000000e+04 2.420128264794383431e+05 2.648095536487539772e-04
3.000000000000000000e+04 2.656087782946684165e+05 2.267609384931718248e-04
3.000000000000000000e+04 2.915053062825175584e+05 1.938125373171285554e-04
3.000000000000000000e+04 3.199267137797384639e+05 1.653511491019978073e-04
3.000000000000000000e+04 3.511191734215127653e+05 1.408338514447762140e-04
3.000000000000000000e+04 3.853528593710527639e+05 1.197546933928717581e-04
3.000000000000000000e+04 4.229242874389498611e+05 1.016622442313511838e-04
3.000000000000000000e+04 4.641588833612772287e+05 8.617282341137582735e-05
3.000000000000000000e+04 5.094138014816375216e+05 7.293949622956399177e-05
3.000000000000000000e+04 5.590810182512222091e+05 6.164222571859664945e-05
3.000000000000000000e+04 6.135907273413175717e+05 5.203584274301096787e-05
3.000000000000000000e+04 6.734150657750827959e+05 4.385957416070310726e-05
3.000000000000000000e+04 7.390722033525775187e+05 3.693284648680514136e-05
3.000000000000000000e+04 8.111308307896872284e+05 3.106547243943841557e-05
3.000000000000000000e+04 8.902150854450393235e+05 2.609419762863270846e-05
3.000000000000000000e+04 9.770099572992246831e+05 2.190333784316895782e-05
3.000000000000000000e+04 1.072267222010323079e+06 1.836165383075366060e-05
3.000000000000000000e+04 1.176811952434999170e+06 1.538450134303078387e-05
3.000000000000000000e+04 1.291549665014882572e+06 1.287976640773746301e-05
3.000000000000000000e+04 1.417474162926804740e+06 1.076982094327193235e-05
3.000000000000000000e+04 1.555676143930472201e+06 9.003042456669722572e-06
3.000000000000000000e+04 1.707352647470688680e+06 7.517591267295404020e-06
